Login email;Identifier;One-time password;Recovery code;First name;Last name;Department;Location
rachel@example.com;9012;12se74;rb9012;Rachel;Booker;Sales;Manchester
laura@example.com;2070;04ap67;lg2070;Laura;Grey;Depot;London
craig@example.com;4081;30no86;cj4081;Craig;Johnson;Depot;London
mary@example.com;9346;14ju73;mj9346;Mary;Jenkins;Engineering;Manchester
jamie@example.com;5079;09ja61;js5079;Jamie;Smith;Engineering;Manchester
rachel@example.com;9012;12se74;rb9012;Rachel;Booker;Sales;Manchester
craig@example.com;4081;30no86;cj4081;Craig;Johnson;Depot;London
jamie@example.com;5079;09ja61;js5079;Jamie;Smith;Engineering;Manchester
mary@example.com;9346;14ju73;mj9346;Mary;Jenkins;Engineering;Manchester
laura@example.com;2070;04ap67;lg2070;Laura;Grey;Depot;London
craig@example.com;4081;30no86;cj4081;Craig;Johnson;Depot;London
mary@example.com;9346;14ju73;mj9346;Mary;Jenkins;Engineering;Manchester
rachel@example.com;9012;12se74;rb9012;Rachel;Booker;Sales;Manchester
laura@example.com;2070;04ap67;lg2070;Laura;Grey;Depot;London
jamie@example.com;5079;09ja61;js5079;Jamie;Smith;Engineering;Manchester
rachel@example.com;9012;12se74;rb9012;Rachel;Booker;Sales;Manchester
laura@example.com;2070;04ap67;lg2070;Laura;Grey;Depot;London
jamie@example.com;5079;09ja61;js5079;Jamie;Smith;Engineering;Manchester
craig@example.com;4081;30no86;cj4081;Craig;Johnson;Depot;London
mary@example.com;9346;14ju73;mj9346;Mary;Jenkins;Engineering;Manchester
